TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,COLUMN_NAME,ORDINAL_POSITION,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,REFERENCED_TABLE_SCHEMA,POSITION_IN_UNIQUE_CONSTRAINT
ccledu_next480,oc_external_options,def,option_id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_options,def,mount_id,1,option_mount_key,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_options,def,key,2,option_mount_key,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_addressbooks,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_addressbooks,def,principaluri,1,addressbook_index,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_addressbooks,def,uri,2,addressbook_index,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_circles_member,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_applicable,def,applicable_id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_applicable,def,type,1,applicable_type_value_mount,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_applicable,def,value,2,applicable_type_value_mount,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_external_applicable,def,mount_id,3,applicable_type_value_mount,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_ratelimit_entries,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_systemtag_group,def,gid,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_systemtag_group,def,systemtagid,2,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_notifications_settings,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_notifications_settings,def,user_id,1,notset_user,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_group_user,def,gid,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_group_user,def,uid,2,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_systemtag_object_mapping,def,objecttype,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_systemtag_object_mapping,def,objectid,2,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_systemtag_object_mapping,def,systemtagid,3,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_mounts,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
ccledu_next480,oc_circles_mountpoint,def,id,1,PRIMARY,ccledu_next480,def,NULL,NULL,NULL,NULL
