id,pic_,seq_,title_,course_,course_cat
1,Dispenser.JPG,1,Dispenser (1 Year Diploma),Dispenser,Diploma
2,ultrasound.JPG,1,Ultra Sound Technician (1 Year Diploma),Ultra Sound Technician,Diploma
3,ECG.JPG,1,E.C.G Technician  (1 Year Diploma),ECG Technician,Diploma
5,Blood Transfusion Technician.JPG,1,Blood Transfusion Technician  (1 Year Diploma),Blood Transfusion Technician,Diploma
6,laboratory technician.JPG,1,Laboratory Technician (1 Year Diploma),Laboratory Technician,Diploma
7,operation theatre.JPG,1,Operation Theatre Technician  (1 Year Diploma),Operation Theatre Technician,Diploma
8,icu technician.JPG,1,I.C.U Technician,ICU Technician,Diploma
9,health technician.JPG,1,Health Technician (1 Year Diploma),Health Technician,Diploma
10,dialysis technician.JPG,1,Dialysis Technician (1 Year Diploma),Dialysis Technician,Diploma
11,Anaesthesia  technician.JPG,1,Anaesthesia Technician (1 Year Diploma),Anaesthesia Technician,Diploma

